基准文件夹,新文件夹,对比结果,详细信息
D:\ofd\10.第三方票据.OFD,D:\ofd1\10.第三方票据.OFD,一致
D:\ofd\4.ofd,D:\ofd1\4.ofd,一致
D:\ofd\42.横向文本.ofd,D:\ofd1\42.横向文本.ofd,一致
D:\ofd\45.脱密不变黑.ofd,D:\ofd1\45.脱密不变黑.ofd,一致
D:\ofd\6.ofd,D:\ofd1\6.ofd,一致
D:\ofd\auto4.ofd,D:\ofd1\auto4.ofd,一致
D:\ofd\auton1.ofd,D:\ofd1\auton1.ofd,内容不一致，返回值：417,"{""type_changes"":{""root['render_pic'][0]"":{""old_type"":""type"",""new_type"":""type"",""old_value"":0.8021578788757324,""new_value"":1}},""iterable_item_removed"":{""root['pages_info'][0]['annots'][0]"":{""IsSignature"":false,""Type"":""Path"",""SubType"":""Pencil"",""Creator"":""jingj"",""Remark"":"""",""RunTime"":false,""Visible"":true,""Print"":true,""NoZoom"":false,""NoRotate"":false,""ReadOnly"":false,""Boundary"":[26.9773,11.9012,186.46089,231.9404],""Parameters"":{""Pentype"":""softpen""},""Appearance"":[{""Type"":""Path"",""RunTime"":false,""Name"":"""",""Visible"":true,""LineWidth"":0.353,""Cap"":0,""Join"":0,""MiterLimit"":10.0,""DashOffset"":0.0,""Alpha"":255,""Boundary"":[-1.4989,0.088,161.8643,220.8329],""CTM"":[1.0,0.0,0.0,1.0,0.0,0.0],""DrawParam"":0,""DashPattern"":[],""StrokeColor"":{""Alpha"":255,""ColorSpace"":2,""ColorValue"":0},""FillColor"":{""Alpha"":255,""ColorSpace"":2,""ColorValue"":0},""Actions"":[],""Stroke"":false,""Fill"":true,""FillMode"":0,""PathData"":""M 64.7105 35.6155 Q 64.7105 35.6155 55.1891 42.4917 Q 45.6677 49.368 32.4435 75.6827 Q 19.2193 101.9975 18.9548 106.229 Q 18.6904 110.4606 51.0896 129.2379 Q 83.4888 148.0153 112.3176 143.7838 Q 141.1463 139.5523 108.3503 142.5937 Q 75.5543 145.6351 64.5783 150.1311 Q 53.6022 154.6271 68.5455 169.1729 Q 83.4888 183.7188 85.6047 186.8924 Q 87.7206 190.0661 87.8528 190.7272 Q 87.9851 191.3884 87.0594 192.0496 Q 86.1337 192.7108 84.5468 192.7108 Q 82.9599 192.7108 74.7609 194.6943 Q 66.5619 196.6778 66.1652 196.9423 Q 65.7684 197.2068 66.5619 198.0002 Q 67.3553 198.7936 94.3327 190.3305 Q 121.31 181.8675 130.8314 161.9 Q 140.3528 141.9325 115.3591 100.014 Q 90.3654 58.0955 71.1904 29.136 Q 52.0153 0.1765 49.106 0.1765 Q 46.1966 0.1765 45.1387 2.2923 Q 44.0808 4.408 48.7092 30.855 Q 53.3377 57.3021 59.0241 62.9882 Q 64.7105 68.6743 71.0581 72.6413 Q 77.4057 76.6084 113.9045 93.6667 Q 150.4032 110.725 150.5354 110.8573 Q 150.6677 110.9895 135.5921 115.3533 Q 120.5165 119.717 115.4914 121.4361 Q 110.4662 123.1551 103.7218 133.0728 Q 96.9775 142.9904 101.606 148.6765 Q 106.2344 154.3626 103.4573 157.2718 Q 100.6803 160.1809 99.6223 160.9743 Q 98.5644 161.7678 94.5972 168.644 Q 90.6299 175.5202 90.6299 176.8426 Q 90.6299 178.1649 90.7621 179.4873 Q 90.8944 180.8096 95.2584 187.4214 Q 99.6223 194.0331 100.8125 200.1159 Q 102.0027 206.1987 100.6803 206.8599 Q 99.3579 207.5211 98.6966 207.7856 Q 98.0354 208.05 97.9032 208.05 Q 97.771 208.05 95.9196 208.3145 Q 94.0682 208.579 93.407 208.9757 Q 92.7458 209.3724 89.7042 210.6947 Q 86.6626 212.0171 86.1337 212.546 Q 85.6047 213.075 82.9599 215.323 Q 80.315 217.571 79.2571 213.7361 Q 78.1992 209.9013 77.6702 208.1823 Q 77.1412 206.4632 69.6034 193.2397 Q 62.0657 180.0162 60.8755 175.6524 Q 59.6853 171.2887 58.2307 124.6097 Q 56.776 77.9307 59.4208 69.9966 Q 62.0657 62.0625 74.2319 33.2353 Q 86.3982 4.408 86.6626 5.0692 Q 86.9271 5.7304 80.844 50.5581 Q 74.7609 95.3858 71.1903 134.7918 Q 67.6198 174.1979 69.8679 165.8671 Q 72.116 157.5362 73.174 151.5857 Q 74.2319 145.6351 78.1992 100.8074 Q 82.1664 55.9797 84.0178 44.0785 Q 85.8692 32.1774 90.2332 64.1783 Q 94.5972 96.1792 96.0518 105.9646 Q 97.5065 115.75 100.548 141.8003 Q 103.5896 167.8506 111.2596 146.8252 Q 118.9296 125.7998 121.31 118.6591 Q 123.6903 111.5184 127.5254 93.27 Q 131.3604 75.0216 128.4511 88.774 Q 125.5417 102.5265 121.7067 129.7669 Q 117.8717 157.0073 119.5909 152.2468 Q 121.31 147.4864 122.5002 142.8582 Q 123.6903 138.2299 132.815 100.9396 Q 141.9397 63.6493 142.7332 52.9383 Q 143.5266 42.2273 143.5266 80.8399 Q 143.5266 119.4525 147.0972 157.0073 Q 150.6677 194.5621 152.9158 180.2807 Q 155.1639 165.9993 155.8251 160.7099 Q 156.4863 155.4205 159.6601 131.7504 Q 162.8339 108.0803 156.8831 122.2295 Q 150.9322 136.3786 146.436 145.2384 Q 141.9397 154.0981 100.548 187.0247 Q 59.1563 219.9512 56.1148 219.4222 Q 53.0732 218.8933 35.0883 183.9832 Q 17.1035 149.0732 14.5909 141.2713 Q 12.0783 133.4695 6.1274 105.8323 Q 0.1765 78.1952 2.1601 108.7415 Q 4.1438 139.2878 4.1438 146.8252 Q 4.1438 154.3626 5.0694 167.4539 Q 5.9951 180.5451 17.7647 133.8661 Q 29.5342 87.1872 33.3692 80.0465 Q 37.2042 72.9058 46.1966 63.3849 Q 55.1891 53.8639 56.5115 91.8154 Q 57.8339 129.7669 59.8176 135.9819 Q 61.8012 142.197 85.208 108.477 Q 108.6148 74.7571 117.7395 70.1289 Q 126.8642 65.5006 126.8642 91.5509 Q 126.8642 117.6012 127.2609 129.5024 Q 127.6576 141.4036 128.0543 141.2713 Q 128.4511 141.1391 128.4511 140.8746 Q 128.4511 140.6102 130.3024 136.1142 L 130.038 135.8497 Q 130.038 135.8497 129.1123 138.0977 Q 128.1866 140.3457 128.1866 140.7424 Q 128.1866 141.1391 128.0543 141.1391 Q 127.9221 141.1391 127.5254 129.2379 Q 127.1286 117.3368 126.9964 91.2865 Q 126.8642 65.2362 117.6072 69.8644 Q 108.3503 74.4926 85.0757 108.0803 Q 61.8012 141.668 59.9498 135.5852 Q 58.0984 129.5024 56.6438 91.5509 Q 55.1891 53.5995 46.0644 63.1204 Q 36.9397 72.6413 33.1047 79.782 Q 29.2697 86.9227 17.6324 133.3372 Q 5.9951 179.7517 5.2017 166.9249 Q 4.4082 154.0981 4.4082 146.693 Q 4.4082 139.2878 2.4246 109.006 Q 0.441 78.7241 6.1274 106.229 Q 11.8138 133.7339 14.3264 141.5358 Q 16.839 149.3377 34.8239 184.2477 Q 52.8087 219.1578 56.1148 219.6867 Q 59.4208 220.2157 100.8125 187.2891 Q 142.2042 154.3626 146.7004 145.5028 Q 151.1967 136.6431 157.0153 122.6262 Q 162.8339 108.6093 159.5279 131.8826 Q 156.2218 155.156 155.5606 160.4454 Q 154.8994 165.7348 152.7836 179.884 Q 150.6677 194.0331 147.2294 156.6106 Q 143.7911 119.1881 143.6589 79.2531 Q 143.5266 39.3181 142.6009 51.3515 Q 141.6752 63.3849 132.5506 100.6752 Q 123.4259 137.9654 122.2357 142.5937 Q 121.0455 147.2219 119.4586 151.7179 Q 117.8717 156.2139 121.839 129.5024 Q 125.8062 102.7909 128.5833 88.9062 Q 131.3604 75.0216 127.3931 93.1378 Q 123.4259 111.254 121.0455 118.3947 Q 118.6652 125.5354 111.1274 146.5607 Q 103.5896 167.5861 100.6803 141.5358 Q 97.771 115.4855 96.3163 105.7001 Q 94.8616 95.9147 90.3654 63.6493 Q 85.8692 31.384 83.8856 43.5496 Q 81.9019 55.7152 77.9347 100.5429 Q 73.9674 145.3706 72.9095 151.3212 Q 71.8516 157.2718 69.7357 165.3381 Q 67.6198 173.4044 71.3226 134.5273 Q 75.0254 95.6502 81.1085 50.5581 Q 87.1916 5.4659 86.7949 4.8047 Q 86.3982 4.1436 74.0997 32.9708 Q 61.8012 61.798 59.1563 69.7322 Q 56.5115 77.6663 57.9662 124.6097 Q 59.4208 171.5532 60.611 175.9169 Q 61.8012 180.2807 69.339 193.5042 Q 76.8767 206.7277 77.4057 208.4467 Q 77.9347 210.1658 79.1249 214.1328 Q 80.315 218.0999 83.0921 215.7197 Q 85.8692 213.3394 86.3982 212.8105 Q 86.9271 212.2816 89.9687 210.9592 Q 93.0102 209.6369 93.6715 209.2401 Q 94.3327 208.8434 96.1841 208.579 Q 98.0354 208.3145 98.1677 208.3145 Q 98.2999 208.3145 98.9611 208.05 Q 99.6223 207.7856 100.9448 207.1244 Q 102.2672 206.4632 101.077 200.1159 Q 99.8868 193.7686 95.5229 187.1569 Q 91.1589 180.5451 91.0266 179.2228 Q 90.8944 177.9004 90.8944 176.8426 Q 90.8944 175.7847 94.8616 168.9084 Q 98.8289 162.0322 99.8868 161.2388 Q 100.9448 160.4454 103.7218 157.5362 Q 106.4989 154.6271 101.8704 148.6765 Q 97.242 142.7259 103.9863 133.0728 Q 110.7307 123.4196 115.7558 121.7005 Q 120.781 119.9815 135.9888 115.4855 Q 151.1967 110.9895 150.9322 110.725 Q 150.6677 110.4606 114.1689 93.4022 Q 77.6702 76.3439 71.3226 72.3769 Q 64.975 68.4098 59.2886 62.7237 Q 53.6022 57.0376 48.9737 30.855 Q 44.3453 4.6725 45.4032 2.5567 Q 46.4611 0.441 49.106 0.441 Q 51.7508 0.441 70.9259 29.4005 Q 90.1009 58.3599 115.0946 100.2785 Q 140.0883 142.197 130.5669 161.9 Q 121.0455 181.603 94.3327 189.8016 Q 67.6198 198.0002 66.9586 197.6035 Q 66.2974 197.2068 66.5619 197.0745 Q 66.8264 196.9423 75.0254 194.9588 Q 83.2244 192.9752 84.8113 192.9752 Q 86.3982 192.9752 87.5883 192.3141 Q 88.7785 191.6529 88.3818 190.7272 Q 87.9851 189.8016 85.8692 186.628 Q 83.7533 183.4543 68.81 169.0407 Q 53.8667 154.6271 64.8428 150.2633 Q 75.8188 145.8996 107.4246 142.8582 Q 139.0304 139.8167 111.3919 143.7838 Q 83.7533 147.7508 51.3541 128.9734 Q 18.9548 110.1961 19.2193 106.229 Q 19.4838 102.262 32.708 75.9472 Q 45.9322 49.6324 64.975 35.88 C ""}]}}}"
D:\ofd\auton2.ofd,D:\ofd1\auton2.ofd,一致
D:\ofd\Packet-SF-0.ofd,D:\ofd1\Packet-SF-0.ofd,对比结果异常，返回值：500
D:\ofd\文本.ofd,D:\ofd1\文本.ofd,一致
D:\ofd\红头未变黑文档.ofd,D:\ofd1\红头未变黑文档.ofd,一致
